i;word;anzahl;rangRatio;p;pSumCount;Abw
1;the;4195.0;1.0;0.2337;7935.879;-0.8917
2;and;2976.0;0.5;0.1169;3967.9395;-0.3333
3;i;2849.0;0.3333;0.0779;2645.293;0.0715
4;of;2642.0;0.25;0.0584;1983.9698;0.2491
5;to;2094.0;0.2;0.0467;1587.1758;0.242
6;my;1776.0;0.1667;0.039;1322.6465;0.2553
7;a;1391.0;0.1429;0.0334;1133.697;0.185
8;in;1129.0;0.125;0.0292;991.9849;0.1214
9;was;1021.0;0.1111;0.026;881.7643;0.1364
10;that;1018.0;0.1;0.0234;793.5879;0.2204
11;me;867.0;0.0909;0.0212;721.4435;0.1679
12;but;687.0;0.0833;0.0195;661.3233;0.0374
13;had;686.0;0.0769;0.018;610.4522;0.1101
14;with;667.0;0.0714;0.0167;566.8485;0.1502
15;he;608.0;0.0667;0.0156;529.0586;0.1298
16;you;574.0;0.0625;0.0146;495.9924;0.1359
17;which;558.0;0.0588;0.0137;466.8164;0.1634
18;it;547.0;0.0556;0.013;440.8822;0.194
19;his;535.0;0.0526;0.0123;417.6778;0.2193
20;as;528.0;0.05;0.0117;396.794;0.2485
21;not;510.0;0.0476;0.0111;377.899;0.259
22;for;463.0;0.0455;0.0106;360.7218;0.2209
23;by;461.0;0.0435;0.0102;345.0382;0.2515
24;on;460.0;0.0417;0.0097;330.6616;0.2812
25;this;402.0;0.04;0.0093;317.4352;0.2104
26;from;385.0;0.0385;0.009;305.2261;0.2072
27;her;373.0;0.037;0.0087;293.9214;0.212
28;have;365.0;0.0357;0.0083;283.4243;0.2235
29;be;360.0;0.0345;0.0081;273.651;0.2399
30;when;328.0;0.0333;0.0078;264.5293;0.1935
31;at;317.0;0.0323;0.0075;255.9961;0.1924
32;were;308.0;0.0313;0.0073;247.9962;0.1948
33;is;307.0;0.0303;0.0071;240.4812;0.2167
34;she;255.0;0.0294;0.0069;233.4082;0.0847
35;your;253.0;0.0286;0.0067;226.7394;0.1038
36;him;222.0;0.0278;0.0065;220.4411;0.007
37;an;211.0;0.027;0.0063;214.4832;-0.0165
38;so;210.0;0.0263;0.0062;208.8389;0.0055
39;they;210.0;0.0256;0.006;203.4841;0.031
40;one;206.0;0.025;0.0058;198.397;0.0369
